set	chromosome	linkage.map.length	linkage.map.length.correctedCh	linkage.map.length.correctedHW	phys.map.length	nb.markers	density.markers.cM	density.markers.bp	marker.interval.cM	largest.gap.cM	marker.interval.bp	chrwide.rate	map.coverage	rejected.rate	mean.recrate	median.recrate	sd.recrate
Arabidopsis_thaliana_Serin2017	1	117.87	118.730364963504	118.730364963504	30450000	275	2.33307881564435	9.0311986863711e-06	0.430182481751825	2.88	110948.905109489	3.87093596059113	0.990591649483969	0	3.842074912604	3.6302836167934	1.61559865578469
Arabidopsis_thaliana_Serin2017	2	76.29	77.1875294117647	77.1875294117647	19650000	171	2.24144710971294	8.70229007633588e-06	0.448764705882353	3.23	115294.117647059	3.8824427480916	0.988699340808405	0	3.53002788053902	3.44591380327178	2.2624198815007
Arabidopsis_thaliana_Serin2017	3	82.61	83.4120388349515	83.4120388349515	23450000	207	2.50574990921196	8.8272921108742e-06	0.401019417475728	2.72	113592.233009709	3.5228144989339	0.993339094338228	0	3.58537558896037	3.64732149717957	2.43046969489553
Arabidopsis_thaliana_Serin2017	4	92.12	93.2572839506173	93.2572839506173	18550000	163	1.76943117672601	8.78706199460916e-06	0.568641975308642	4.81	114197.530864198	4.96603773584906	0.970953647224181	0	4.59963928858928	4.09127777646957	2.12160501142511
Arabidopsis_thaliana_Serin2017	5	102.8128307	103.662523515702	103.662523515702	26950000	243	2.36351823352725	9.01669758812616e-06	0.42484640785124	2.34046170000001	111157.024793388	3.81494733580705	0.991147332624876	0	3.76102550417497	3.74487377973298	1.60073136596679
Brachypodium_distachyon_Huo2011	1	449.112	455.060503311258	455.060503311258	74306960	152	0.338445643848305	2.04556881347319e-06	2.97425165562914	34.523	487463.158940397	6.04400987471429	0.4918056306218	0	6.14355963820755	4.91842379523144	3.84150405490702
Brachypodium_distachyon_Huo2011	2	348.25	355.988888888889	355.988888888889	58021621	91	0.261306532663317	1.56838086271323e-06	3.86944444444444	29.728	634998.788888889	6.00207291692178	0.40703094510049	0	6.2860190098637	5.4110550168685	4.82775397936637
Brachypodium_distachyon_Huo2011	3	350.905	356.103592592593	356.103592592593	59565636	136	0.387569285134153	2.28319563313317e-06	2.5992962962963	21.4	435831.785185185	5.8910644385632	0.539360054424629	0.0072992700729927	6.00361556520704	4.93778181858154	4.54232734984211
Brachypodium_distachyon_Huo2011	4	267.023	271.834225225225	271.834225225225	48178278	112	0.41943952393614	2.32469911025047e-06	2.40561261261261	14.938	429731.045045045	5.54239402246797	0.567805278410345	0	5.58974697148235	4.11395324099795	4.92773200098094
Brachypodium_distachyon_Huo2011	5	182.702	188.3236	188.3236	28356501	66	0.361243992950269	2.32750860199571e-06	2.8108	16.941	426449.369230769	6.44303752427001	0.514457271522329	0	6.71725325704981	4.33271245010626	6.46820489545898
Brassica_napus_Yang2017	A01	118.52	121.244597701149	121.229862068966	22206303	88	0.742490718866014	3.96283883904493e-06	1.35493103448276	7.14500000000001	250084.183908046	5.33722340004097	0.773493454887366	0.0112359550561798	5.48081229866589	5.19247055032071	3.55324593262055
Brassica_napus_Yang2017	A02	100.523	103.930559322034	100.866796610169	20766589	60	0.596878326353173	2.88925639160095e-06	0.171898305084746	26.674	18570.6440677966	4.84061200421504	0.696919445601732	0.178082191780822	4.3973800410136	3.15844770291016	4.17664680629582
Brassica_napus_Yang2017	A03	153.188	155.9235	155.9235	28671864	113	0.737655691046296	3.9411459261944e-06	1.36775	14.603	253719.598214286	5.34279878001653	0.77129249946364	0	5.17266811439229	4.25778756368488	2.91846423814942
Brassica_napus_Yang2017	A04	71.034	73.1865454545455	73.1865454545455	19140278	67	0.94321029366219	3.50047162324393e-06	1.07627272727273	4.74799999999999	286009.984848485	3.71123136247028	0.848386473879677	0	3.64465357549624	3.44353653180085	1.81045896351626
Brassica_napus_Yang2017	A05	124.166	128.304866666667	127.1679	20887884	61	0.491277805518419	2.9203532535895e-06	1.50095	14.586	331032.7	5.94440298500317	0.62564682577234	0.0161290322580645	4.38129163826452	4.0779766795257	3.93803068986651
Brassica_napus_Yang2017	A07	55.099	57.4436382978723	57.4436382978723	21797132	48	0.871159186192127	2.20212457308604e-06	1.17231914893617	3.556	345572.638297872	2.52780962192641	0.824886049699022	0.272727272727273	2.53858367421433	2.48105440783385	1.75072041193314
Brassica_napus_Yang2017	A08	71.407	74.1534230769231	74.1534230769231	18861278	53	0.742224151693812	2.80998986388939e-06	1.37321153846154	13.962	175884.884615385	3.78590464548585	0.773372664272982	0	7.58671286484077	7.20724708438905	2.45825755087156
Brassica_napus_Yang2017	A09	125.375	129.355158730159	129.355158730159	33421799	64	0.510468594217348	1.91491786543268e-06	1.99007936507937	15.249	528415.888888889	3.75129417779097	0.639742846924657	0.0857142857142857	3.59570449516846	3.55621229330495	1.75755791097018
Brassica_napus_Yang2017	A10	74.613	77.1858620689655	77.1858620689655	17363998	59	0.790746920777881	3.39783499168797e-06	1.28643103448276	6.546	294384.344827586	4.29699427516635	0.794332366247502	0	4.29389764253551	2.72834179154381	3.87374242264409
Brassica_napus_Yang2017	C01	106.47	115.728260869565	115.728260869565	38108534	24	0.225415610030995	6.29780195690551e-07	4.62913043478261	31.202	1641736.47826087	2.7938623931322	0.362901637473778	0	2.80163610305659	2.35466165954058	2.28360545128862
Brassica_napus_Yang2017	C02	148.428	154.136769230769	153.918846153846	45458273	53	0.35707548440995	1.16590438884469e-06	2.74542307692308	31.912	828164.942307692	3.26514823825357	0.510392372479752	0	2.86409071217295	1.9835320771595	2.6119222862634
